company,Close_val,Perc_inc,Stockval_change,Market_opinion,Vol_trade,Marketcap 
KOTAK MAHINDRA MUTUAL FUND,12.75,27.50%,2.75,Strong Buy,3.000M,—
ASPIRA PATHLAB & DIAGNOSTICS L,16.98,20.00%,2.83,Strong Buy,21.000K,88.177M
SHYAM TELECOM LTD.,16.55,19.93%,2.75,Buy,7.579K,153.272M
SHYAM TELECOM,16.30,19.85%,2.70,Buy,5.702K,153.272M
ELPRO INTERNATIONAL LTD.,49.45,19.73%,8.15,Buy,168.316K,6.999B
BHAKTI GEMS AND JEWELLERY LIMI,21.95,18.65%,3.45,Strong Buy,72.000K,—
SAGAR DIAMONDS LIMITED,26.95,18.20%,4.15,Sell,9.000K,340.750M
TIRUPATI TYRES LTD.,6.36,15.64%,0.86,Sell,351,—
K.P. ENERGY LIMITED,229.00,14.56%,29.10,Neutral,13.750K,1.958B
RATNABHUMI DEVELOPERS LIMITED,43.25,13.97%,5.30,Buy,38.000K,—
